Compute Name,Instance UUID,Instance Name,Total CPUS,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
overcloud-AvrsReadyCompute-35,instance-00001abe,ZTE_xGW_GSU_25_25_0,6,'50','14','51','15','10','46',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-34,instance-00000d8e,ISB-GnDNS_2,8,'43','7','16','52','2','38','8','44',4096,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-33,instance-00001677,ZTE_UMAC_15_CDB_2_L,4,'43','7','16','52',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-33,instance-00001704,ZTE_UMAC_15_CMP_11_S,8,'2','38','8','44','50','14','51','15',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-33,instance-000016c2,ZTE_UMAC_15_USUP_6_S,8,'10','46','11','47','42','6','41','5',12288,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-33,instance-00001b00,ZTE_xGW_CDB_25_22_1,4,'65','29','34','70',49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-32,instance-00001716,ZTE_UMAC_15_CMP_16_S,8,'43','7','16','52','2','38','8','44',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-32,instance-00001671,ZTE_UMAC_15_SMP_1_S,8,'50','14','51','15','10','46','11','47',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-32,instance-000016bf,ZTE_UMAC_15_USUP_7_S,8,'42','6','41','5','9','45','3','39',12288,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-32,instance-00001adc,ZTE_xGW_GSU_25_18_0,6,'48','12','49','13','17','53',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-31,instance-00001a6d,ZTE_xGW_PFU_25_1_0,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-31,instance-00001689,ZTE_UMAC_15_USUP_1_S,8,'50','14','51','15','10','46','11','47',12288,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-31,instance-00001686,ZTE_UMAC_15_OMP_L,2,'42','6',8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-31,instance-00001afd,ZTE_xGW_CDB_25_28_1,4,'65','29','34','70',49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-31,instance-00001ab8,ZTE_xGW_GSU_25_9_1,6,'41','5','9','45','3','39',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-30,instance-000016f5,ZTE_UMAC_15_CMP_3_S,8,'43','7','16','52','2','38','8','44',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-30,instance-000016b0,ZTE_UMAC_15_SMP_6_S,8,'51','15','10','46','11','47','42','6',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-30,instance-00001b03,ZTE_xGW_CDB_25_19_1,4,'65','29','34','70',49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-30,instance-00000f2c,OoklaServer,4,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-30,instance-00001683,ZTE_UMAC_15_OMP_R,2,'50','14',8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-28,instance-000016a1,ZTE_UMAC_15_IPB_4_S,8,'43','7','16','52','2','38','8','44',8192,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-28,instance-00001665,ZTE_UMAC_15_CDB_3_L,4,'50','14','51','15',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-28,instance-00001719,ZTE_UMAC_15_CMP_15_S,8,'10','46','11','47','42','6','41','5',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-28,instance-0000166b,ZTE_UMAC_15_SMP_2_S,8,'65','29','34','70','24','60','33','69',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-28,instance-000016c8,ZTE_UMAC_15_USUP_4_S,8,'9','45','3','39','48','12','49','13',12288,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-29,instance-00001a91,ZTE_xGW_PFU_25_3_1,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-29,instance-000016b3,ZTE_UMAC_15_SMP_7_S,8,'50','14','51','15','10','46','11','47',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-29,instance-0000165c,ZTE_UMAC_15_CDB_4_L,4,'42','6','41','5',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-29,instance-0000170a,ZTE_UMAC_15_CMP_10_S,8,'65','29','34','70','24','60','33','69',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-20,instance-00001794,ZTE_vSBC_144_OMP_MSPE_R,32,'43','7','16','52','2','38','8','44','50','14','51','15','10','46','11','47','65','29','34','70','24','60','33','69','67','31','66','30','26','62','35','71',98304
overcloud-AvrsReadyCompute-21,instance-00001701,ZTE_UMAC_15_CMP_9_S,8,'43','7','16','52','2','38','8','44',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-21,instance-000016bc,ZTE_UMAC_15_USUP_5_S,8,'50','14','51','15','10','46','11','47',12288,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-23,instance-00001a55,ZTE_xGW_SLB_25_8_2,4,'65','29','34','70',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-23,instance-00001aa9,ZTE_xGW_GSU_25_8_1,6,'3','39','48','12','49','13',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-23,instance-00001aac,ZTE_xGW_GSU_25_15_1,6,'42','6','41','5','9','45',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-24,instance-00001a9d,ZTE_xGW_PFU_25_1_3,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-24,instance-00001674,ZTE_UMAC_15_CMP_2_S,8,'42','6','41','5','9','45','3','39',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-24,instance-000016c5,ZTE_UMAC_15_USUP_8_S,8,'50','14','51','15','10','46','11','47',12288,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-24,instance-00001710,ZTE_UMAC_15_CMP_13_S,8,'48','12','49','13','17','53','40','4',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-25,instance-00001a7f,ZTE_xGW_PFU_25_1_2,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-25,instance-00001a52,ZTE_xGW_GSU_25_9_0,6,'50','14','51','15','10','46',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-25,instance-00001ac1,ZTE_xGW_GSU_25_30_0,6,'11','47','42','6','41','5',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-25,instance-00001ac7,ZTE_xGW_GSU_25_28_0,6,'65','29','34','70','24','60',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-26,instance-00001a58,ZTE_xGW_STUs_25_6_0,2,'9','45',10240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-26,instance-00001a67,ZTE_xGW_PFU_25_1_1,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-26,instance-00001ab2,ZTE_xGW_GSU_25_14_1,6,'11','47','42','6','41','5',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-26,instance-00001ab5,ZTE_xGW_GSU_25_10_1,6,'50','14','51','15','10','46',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-27,instance-000016a4,ZTE_UMAC_15_IPB_3_S,8,'42','6','41','5','9','45','3','39',8192,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-27,instance-0000178e,ZTE_vSBC_144_PP_MPE_L_1,16,'43','7','16','52','2','38','8','44','50','14','51','15','10','46','11','47',65536,,,,,,,,,,,,,,,,
